,product name,image url 1,image url 2,price,category
273,JD19110,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19110_green_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19110_green_2_.jpg,"PKR1,800",Digital Front Lawn Printed 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mShalwar 2.5m
274,JD19108,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19108_red_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19108_red_2_.jpg,"PKR1,800",Digital Front Lawn Printed 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mShalwar 2.5m
275,JD19107,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19107_green_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19107_green_2_.jpg,"PKR1,800",Digital Front Lawn Printed 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mShalwar 2.5m
276,JD19106,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19106_green_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19106_green_2_.jpg,"PKR1,800",Digital Front Lawn Printed 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mShalwar 2.5m
277,JD19103,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19103_green_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19103_green_2_.jpg,"PKR1,800",Digital Front Lawn Printed 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mShalwar 2.5m
278,JD19102,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19102_off-white_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19102_off-white_2_.jpg,"PKR1,800",Digital Front Lawn Printed 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mShalwar 2.5m
279,JD19101,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19101_mustard_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/j/d/jd19101_mustard_2_.jpg,"PKR1,800",Digital Front Lawn Printed 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mShalwar 2.5m
280,RD19104,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/r/d/rd19104_green_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/r/d/rd19104_green_2_.jpg,"PKR4,000",Digital Front Lawn Print 1.25mDigital Back Lawn Printed 1.25mDigital Sleeve Lawn Printed 0.5mDigital Printed Chiffon Dupatta 2.5mShalwar 2.5mEmbroidered Organza
281,IR19106,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19106_yellow_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19106_yellow_2_.jpg,"PKR2,400",Front Lawn Print Embroidered 1.25mBack & Sleeve Lawn Printed 2.0mShalwar 2.5m
282,IR19105,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19105_green_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19105_green_2_.jpg,"PKR2,400",Front Lawn Printed 1.25mBack Lawn Printed 1.25mSleeve Lawn Print Embroidered1.0mShalwar 2.5m
283,IR19105,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19105_black_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19105_black_2_.jpg,"PKR2,400",Front Lawn Printed 1.25mBack Lawn Printed 1.25mSleeve Lawn Print Embroidered1.0mShalwar 2.5m
284,IR19104,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19104_off-white_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/i/r/ir19104_off-white_2_.jpg,"PKR2,400",Front & Sleeve Lawn Print Embroidered 2.0mBack Lawn Printed 1.25mShalwar 2.5m
